Range,Round,Beat,Place,Ha.,Place Year
Bhiloda,Dolatpur SF,Dolatpur SF,Dolatpur SF Beat,,
Bhiloda,Dolatpur SF,Shamalpur SF,Shamalpur SF Beat,,
Bhiloda,Lusadiya SF,Karsha SF,Karsha SF Beat,,
Bhiloda,Rintoda SF,Rintoda SF,Rintoda SF Beat,,
Bhiloda,Rintoda SF,Torda SF,Torda SF Beat,,
Bhiloda,Shamlaji SF,Bhetali SF,Bhetali SF Beat,,
Bhiloda,Shamlaji SF,Shamlaji SF,Shamlaji SF Beat,,
Division,-,-,Division Office,,
Himatnagar,Derol SF,-,Derol SF Round,,
Himatnagar,Himmatnagar SF,-,Himmatnagar SF Round,,
Himatnagar,Himmatpur SF,-,Himmatpur SF Round,,
Himatnagar,Ilol SF,-,Ilol SF Round,,
Himatnagar,Khed SF,-,Khed SF Round,,
Himatnagar,Punasan SF,-,Punasan SF Round,,
Himatnagar,Raygadh SF,-,Raygadh SF Round,,
Idar,Idar SF,-,Idar SF Round,,
Idar,Jashvantgadh SF,-,Jashvantgadh SF Round,,
Idar,Kadiyadara SF,-,Kadiyadara SF Round,,
Idar,Revas SF,-,Revas SF Round,,
Idar,Verabar SF,-,Verabar SF Round,,
Vadali,Bavsar SF,-,Bavsar SF Round,,
Vadali,Bhavangadh SF,-,Bhavangadh SF Round,,
Vadali,Vadali SF,-,Vadali SF Round,,
Prantij,Ghadi SF,-,Ghadi SF Round,,
Prantij,Prantij SF,-,Prantij SF Round,,
Prantij,Salal SF,-,Salal SF Round,,
Talod,Harsol SF,-,Harsol SF Round,,
Talod,Ranasan SF,-,Ranasan SF Round,,
Talod,Talod SF,-,Talod SF Round,,
Khedbrahma,Khedbrahma SF,-,Khedbrahma SF Round,,
Khedbrahma,Kheroj SF,-,Kheroj SF Round,,
Khedbrahma,Lambadiya SF,-,Lambadiya SF Round,,
Khedbrahma,Laxmipura SF,-,Laxmipura SF Round,,
Khedbrahma,Matoda SF,-,Matoda SF Round,,
Khedbrahma,Poshina SF,-,Poshina SF Round,,
Vijaynagar,Antarsuba SF,-,Antarsuba SF Round,,
Vijaynagar,Chithoda SF,-,Chithoda SF Round,,
Vijaynagar,Monghri SF,-,Monghri SF Round,,
Vijaynagar,Vijaynagar SF,-,Vijaynagar SF Round,,
Modasa,Limbhoi SF,-,Limbhoi SF Round,,
Modasa,Medhasan SF,-,Medhasan SF Round,,
Modasa,Modasa SF,-,Modasa SF Round,,
Modasa,Shinawad SF,-,Shinawad SF Round,,
Modasa,Tintoi SF,-,Tintoi SF Round,,
Dhansura,Dhansura SF,-,Dhansura SF Round,,
Dhansura,Shika SF,-,Shika SF Round,,
Dhansura,Vadagam SF,-,Vadagam SF Round,,
Bayad,Ambaliyara SF,-,Ambaliyara SF Round,,
Bayad,Bayad SF,-,Bayad SF Round,,
Bayad,Gabat SF,-,Gabat SF Round,,
Bayad,Sathamba SF,-,Sathamba SF Round,,
Malpur,Jitpur SF,-,Jitpur SF Round,,
Malpur,Malpur SF,-,Malpur SF Round,,
Malpur,Ubharan SF,-,Ubharan SF Round,,
Meghraj,Banthivada SF,-,Banthivada SF Round,,
Meghraj,Isari SF,-,Isari SF Round,,
Meghraj,Kasana SF,-,Kasana SF Round,,
Meghraj,Megharaj SF,-,Megharaj SF Round,,
Meghraj,Rellavada SF,-,Rellavada SF Round,,
Bhiloda,Bhiloda SF,-,Bhiloda SF Round,,
Bhiloda,Dolatpur SF,-,Dolatpur SF Round,,
Bhiloda,Lusadiya SF,-,Lusadiya SF Round,,
Bhiloda,Rintoda SF,-,Rintoda SF Round,,
Bhiloda,Shamlaji SF,-,Shamlaji SF Round,,
Himatnagar,Derol SF,Derol SF,Dedharota- E 10,1,2025-26
Himatnagar,Derol SF,Mehtapura SF,Dhandha Nur 10 VNM 25- 26,,2025-26
Prantij,Salal SF,Salal SF,,,2025-26
Himatnagar,Derol SF,Derol SF,Himatnagar to Derol Harit van path,3,2025-26
Himatnagar,Raygadh SF,Raygadh SF,,,2025-26
Himatnagar,Raygadh SF,Raygadh SF,Nursery Cul. of Indige.Multi Pur. Tree Raygadh 24-25,,2024-25
Himatnagar,Derol SF,Mehtapura SF,RKVY NurseryDhandha 25-26,,2025-26
Himatnagar,Derol SF,Mehtapura SF,,,2025-26
Dhansura,Shika SF,Shika SF,,,2025-26
Dhansura,Vadagam SF,Vadagam SF,,,2025-26
Talod,Ranasan SF,Ranasan SF,Van Kavch - Navalpur Samshan 25-26,1,2025-26
Meghraj,Rellavada SF,Rellavada SF,,,2025-26
Himatnagar,Derol SF,Mehtapura SF,Dhandha Dept Nursery 25-26,,2025-26
Himatnagar,Raygadh SF,Raygadh SF,Raygadh Dept Nursery 25-26,,2025-26
Himatnagar,Raygadh SF,Raygadh SF,Raigadh Nursery Tall Seedling,,2025-26
Himatnagar,Derol SF,Mehtapura SF,Dhandha Nursery Tall Seedling,,2025-26
Himatnagar,Himmatpur SF,Gambhoi SF,Manorpur Vankavach,1,2025-26
Himatnagar,Derol SF,Mehtapura SF,Parabada Vankavach,2,2025-26
Meghraj,Rellavada SF,Rellavada SF,Kunol Nur- Toll Seedling 25-26,,2025-26
Meghraj,Megharaj SF,Megharaj SF,Dhekudi Nur- Toll Seedling-25-26,,2025-26
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Vankavach Farmer Traning Center khedbrahma,1,2025-26
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Vankavach Gota,1,2025-26
Dhansura,Shika SF,Shika SF,Alampur Nursery Tall Seedling,,2025-26
Dhansura,Vadagam SF,Vadagam SF,Navalpur Nursery Tall Seedling,,2025-26
Modasa,Modasa SF,Sakriya SF,Mazum Nursery Tall Seedling,,2025-26
Modasa,Medhasan SF,Medhasan SF,Medhasan Nursery Tall Seedling,,2025-26
Dhansura,Vadagam SF,Vadagam SF,Navalpur Nursery LLMPIT (30*40 Beg),,2025-26
Dhansura,Shika SF,Shika SF,Alampur Nursery LLMPIT (30*40 Beg),,2025-26
Vadali,Bhavangadh SF,Bhavangadh SF,Bhandval Hariyalu Gram Ha-2.00,,2025-26
Vadali,Vadali SF,Junachamu SF,,,2025-26
Vadali,Vadali SF,Vadali SF,Vadali Van kavach Ha-1.00,,2025-26
Meghraj,Isari SF,Isari SF,Ashram Shala - Antoli-H.G.-25-26,1,2025-26
Meghraj,Rellavada SF,Rellavada SF,Ramdevpir Mandir-H.G-25-26,1,2025-26
Meghraj,Rellavada SF,Rellavada SF,Praiymari School-Dhundhera-H.G.25-26,1,2025-26
Prantij,Salal SF,Salal SF,Nananpur-H.G.2025-26,2,2025-26
Malpur,Malpur SF,Surana Pahadiya SF,Strda Smashan H.G,1,2025-26
Dhansura,Dhansura SF,Khadol SF,Mahadev Temple-Khadol-PGVP-25-26,1,2025-26
