Range,Round,Beat,Place,Ha.,Place Year
Himatnagar,Himmatpur SF,Gambhoi SF,Manorpur G-1,6,2024-25
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Vartol Westlend 24-25 6 CFP,30,2024-25
Meghraj,Banthivada SF,Kherai SF,Pateldhundha-G2-25-26,3,
Meghraj,Banthivada SF,Ramgadhi SF,Hiratimba Nur VNM-26-27,,
Meghraj,Isari SF,Isari SF,Patelchhapara-G2-25-26,2,
Meghraj,Isari SF,Panibar SF,Asa.Hanumaj Mandir Antoli-E-25-26,1,
Meghraj,Kasana SF,Kasana SF,Br.Kotda-DCP-T-6-25-26,,
Meghraj,Kasana SF,Vaghpur SF,Vaghpur-AFLDP-24-25,3,
Meghraj,Megharaj SF,Hiratimba SF,Meg To Kam Raod-2-S-25-26,3,
Meghraj,Megharaj SF,Megharaj SF,Dhekudi Nur VNM-26-27,,
Meghraj,Megharaj SF,Rola SF,Rola To Borshi Raod-S-25-26,3,
Meghraj,Rellavada SF,Panchal SF,Panchal-F.F.-24-25,2,
Meghraj,Rellavada SF,Rellavada SF,Kunol Nur VNM-26-27,,
Meghraj,Banthivada SF,Kherai SF,Shree Bxi Pan Anu Niva pra Shala-E-25-26,1,
Meghraj,Banthivada SF,Ramgadhi SF,Hiratimba Nur Dep-26-27,,
Meghraj,Isari SF,Isari SF,Patelchhapara-G2-24-25,7,
Meghraj,Isari SF,Panibar SF,Antoli-G2-25-26,2,
Meghraj,Kasana SF,Kasana SF,Ukardi-DCP-SCP-25-26,,
Meghraj,Kasana SF,Vaghpur SF,Dhekava-AFPBP-23-24,1,
Meghraj,Megharaj SF,Hiratimba SF,Vasna to Iploda Road-S-24-25,3,
Meghraj,Megharaj SF,Megharaj SF,Dhekudi Nur Dep-26-27,,
Meghraj,Megharaj SF,Rola SF,Relyo-DCP-NT-10-25-26,,
Meghraj,Rellavada SF,Panchal SF,Panchal-AFPBP-24-25,3,
Meghraj,Rellavada SF,Rellavada SF,Kunol Nur Dep-26-27,,
Meghraj,Banthivada SF,Kherai SF,Royaniya-DCP-NT-10-25-26,,
Meghraj,Banthivada SF,Ramgadhi SF,Hiratimba Nur VNM-25-26,,
Meghraj,Isari SF,Isari SF,Hanumaji Mandir-Kantalu-HG-24-25,2,
Meghraj,Isari SF,Panibar SF,Ramapir Mandir Pujapur -PGVP-24-25,1,
Meghraj,Kasana SF,Kasana SF,Ukaradi-2-DCP-SCP-25-26,,
Meghraj,Kasana SF,Vaghpur SF,Vaghpur-AFPBP-23-24,2,
Meghraj,Megharaj SF,Hiratimba SF,Meg To Kam Raod-1-S-24-25,3,
Meghraj,Megharaj SF,Megharaj SF,Dhekudi Nur VNM-25-26,,
Meghraj,Megharaj SF,Rola SF,Rola-1-DCP-T-6-25-26,,
Meghraj,Rellavada SF,Panchal SF,BorKhad-AFPBP-24-25,1,
Meghraj,Rellavada SF,Rellavada SF,Kunol Nur VNM-25-26,,
Meghraj,Banthivada SF,Kherai SF,Kherai-DCP-NT-10-25-26,,
Meghraj,Banthivada SF,Ramgadhi SF,Hiratimba Nur Dep-25-26,,
Meghraj,Isari SF,Isari SF,Hanumaji Mandir-Kantalu- -PGVP-24-25,1,
Meghraj,Isari SF,Panibar SF,Gyan Jyot Vidhya Mandir Gorvada -PGVP-24-25,1,
Meghraj,Kasana SF,Kasana SF,Navi Vank-DCP-SCP-25-26,,
Meghraj,Kasana SF,Vaghpur SF,Nani Panduli-AFLDP-23-24,1,
Meghraj,Megharaj SF,Hiratimba SF,Meghai Ma Mandir Sisodara(M)-E-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Dhekudi Nur Dep-25-26,,
Meghraj,Megharaj SF,Rola SF,Rola-2-DCP-T-6-25-26,,
Meghraj,Rellavada SF,Panchal SF,Panchal-AFLDP-24-25,2,
Meghraj,Rellavada SF,Rellavada SF,Kunol Nur Dep-25-26,,
Meghraj,Banthivada SF,Kherai SF,Damordhundha-DCP-SCP-25-26,,
Meghraj,Banthivada SF,Ramgadhi SF,Hiratimba Nur LLMPIT (30*40 Beg),,
Meghraj,Isari SF,Isari SF,Madymik Shala Ishri -PGVP-24-25,1,
Meghraj,Isari SF,Panibar SF,Madymik Shala Panibar -PGVP-24-25,1,
Meghraj,Kasana SF,Kasana SF,J B Ma P Sw Sahay Juth-Vank,,
Meghraj,Kasana SF,Vaghpur SF,Nani Panduli-AFHDP1-23-24,1,
Meghraj,Megharaj SF,Hiratimba SF,Meghai Ma Sisodara(M)-PGVP-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Dhekudi Nur LLMPIT (30*40 Beg),,
Meghraj,Megharaj SF,Rola SF,Rola-3-DCP-T-6-25-26,,
Meghraj,Rellavada SF,Panchal SF,Kadavadi-AFLDP-24-25,1,
Meghraj,Rellavada SF,Rellavada SF,Kunol Nur RKVY 24-25,,
Meghraj,Banthivada SF,Kherai SF,Bhathiji Mandir Kherai -PGVP-24-25,1,
Meghraj,Banthivada SF,Ramgadhi SF,Arjuna-Hirola-DCP-SCP-25-26,,
Meghraj,Isari SF,Isari SF,Khakhariya-F.F.24-25,1.5,
Meghraj,Isari SF,Panibar SF,Panibar-AFPBP-24-25,2,
Meghraj,Kasana SF,Kasana SF,Swnry mandir Navagham(K)-PGVP-24-25,1,
Meghraj,Kasana SF,Vaghpur SF,Dhekava-VK-23-24,1,
Meghraj,Megharaj SF,Hiratimba SF,Swmi Nryn Madir Iploda-PGVP-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Bus Station Meghraj-PGVP-24-25,1,
Meghraj,Megharaj SF,Rola SF,Hanumanji Madir Pahadiya(M)-PGVP-24-25,1,
Meghraj,Rellavada SF,Panchal SF,Dhundhera-F.F.-22-23,3,
Meghraj,Rellavada SF,Rellavada SF,Kunol Nur LLMPIT (30*40 Beg),,
Meghraj,Banthivada SF,Kherai SF,Pateldhundha-Pra Shala -PGVP-24-25,1,
Meghraj,Banthivada SF,Ramgadhi SF,Ramghdhi Hi.School-E-24-25,1,
Meghraj,Isari SF,Isari SF,Jitpur-F.F.-24-25,4.5,
Meghraj,Isari SF,Panibar SF,Antoli-AFLDP-24-25,4,
Meghraj,Kasana SF,Kasana SF,Ramapir Madir Ukaradi -PGVP-24-25,1,
Meghraj,Kasana SF,Vaghpur SF,Nani Panduli-VK-23-24,1,
Meghraj,Megharaj SF,Hiratimba SF,Kambharoda-AFLDP-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Civil Cort Meghraj -PGVP-24-25,1,
Meghraj,Megharaj SF,Rola SF,Rola-F.F.-24-25,7,
Meghraj,Rellavada SF,Panchal SF,Panchal-F.F.-22-23,1,
Meghraj,Rellavada SF,Rellavada SF,Kunol(Navaghara)4-G1-25-26,3,
Meghraj,Banthivada SF,Kherai SF,Swnry Mandir -PGVP-24-25,1,
Meghraj,Banthivada SF,Ramgadhi SF,Arjuna(Hirola) Banthiivada-G2-24-25,4,
Meghraj,Isari SF,Isari SF,Patelchhapara-AFPBP-24-25,1,
Meghraj,Isari SF,Panibar SF,Panibar-AFLDP-24-25,1,
Meghraj,Kasana SF,Kasana SF,Nilkanth Maha Motimori -PGVP-24-25,1,
Meghraj,Kasana SF,Vaghpur SF,Vaghpur-VK-23-24,1,
Meghraj,Megharaj SF,Hiratimba SF,Kambharoda-F.F.-21-22,13,
Meghraj,Megharaj SF,Megharaj SF,Bedaj-F.F.-24-25,3,
Meghraj,Megharaj SF,Rola SF,Moti Bhuval-F.F.-24-25,13,
Meghraj,Rellavada SF,Panchal SF,Panchal-VK-22-23,2,
Meghraj,Rellavada SF,Rellavada SF,Sangal-G2-25-26,4,
Meghraj,Banthivada SF,Kherai SF,Bhemapur-F.F.-24-25,6,
Meghraj,Banthivada SF,Ramgadhi SF,Pra.School Banthivada-PGVP-24-25,1,
Meghraj,Isari SF,Isari SF,Ishri-AFPBP-24-25,15,
Meghraj,Isari SF,Panibar SF,Mota Math-AFLDP-24-25,2,
Meghraj,Kasana SF,Kasana SF,Ashapura Ma Mandr Vadathal -PGVP-24-25,1,
Meghraj,Kasana SF,Vaghpur SF,Ghodhavada-F.F.-22-23,2,
Meghraj,Megharaj SF,Hiratimba SF,Pishal-G2-20-21,3,
Meghraj,Megharaj SF,Megharaj SF,Pahadiya(M)-AFPBP-24-25,4,
Meghraj,Megharaj SF,Rola SF,Bhuval-RDFL-24-25,4,
Meghraj,Rellavada SF,Panchal SF,Panchal-F.F.-21-22,13,
Meghraj,Rellavada SF,Rellavada SF,Mhtm Gandhi Hgh School-Sangal-E-25-26,1,
Meghraj,Banthivada SF,Kherai SF,Dhanivada-F.F.-24-25,1,
Meghraj,Banthivada SF,Ramgadhi SF,Navratri Chowk Banthivada-PGVP-24-25,1,
Meghraj,Isari SF,Isari SF,Navagam(I)-AFPBP-24-25,1,
Meghraj,Isari SF,Panibar SF,Panibar-AFHDP2-24-25,1,
Meghraj,Kasana SF,Kasana SF,Brahman Kotda High School -PGVP-24-25,1,
Meghraj,Kasana SF,Vaghpur SF,Ghodhavada-VK-22-23,1,
Meghraj,Megharaj SF,Hiratimba SF,Pruthavipura-F.F.-20-21,10,
Meghraj,Megharaj SF,Megharaj SF,Kumbhera-AFPBP-24-25,2,
Meghraj,Megharaj SF,Rola SF,Nani Bhuval -AFPBP-24-25,4,
Meghraj,Rellavada SF,Panchal SF,Panchal-VK-21-22,3,
Meghraj,Rellavada SF,Rellavada SF,Gokchuvan-1-DCP-NT-10-25-26,,
Meghraj,Banthivada SF,Kherai SF,Bhemapur-2-F.F.-24-25,8,
Meghraj,Banthivada SF,Ramgadhi SF,Munshivada-AFPBP-24-25,4,
Meghraj,Isari SF,Isari SF,Patelchhapara-AFLDP-24-25,2,
Meghraj,Isari SF,Panibar SF,Odha-F.F.22-23,11,
Meghraj,Kasana SF,Kasana SF,Pahadiya(P) Amrut Sarovar-PPAS-24-25,1,
Meghraj,Kasana SF,Vaghpur SF,Jamghadh-VK-22-23,0.5,
Meghraj,Megharaj SF,Hiratimba SF,Iploda-AFPBP-20-21,1,
Meghraj,Megharaj SF,Megharaj SF,Kumbhera-AFLDP-24-25,4,
Meghraj,Megharaj SF,Rola SF,Bhuval-AFPBP-24-25,8,
Meghraj,Rellavada SF,Panchal SF,Panchal To Borshi Road-S-20-21,2,
Meghraj,Rellavada SF,Rellavada SF,Gokchuvan-2-DCP-NT-10-25-26,,
Meghraj,Banthivada SF,Kherai SF,Kherai-F.F.-24-25,2,
Meghraj,Banthivada SF,Ramgadhi SF,Ramghadhi-AFPBP-24-25,5,
Meghraj,Isari SF,Isari SF,Ishri-AFLDP-24-25,1,
Meghraj,Isari SF,Panibar SF,Panibar-VK-22-23,2,
Meghraj,Kasana SF,Kasana SF,Brahman Kotda-F.F.-24-25,12,
Meghraj,Kasana SF,Vaghpur SF,Chhikarari-F.F.-21-22,13,
Meghraj,Megharaj SF,Megharaj SF,Mahudi-AFLDP-24-25,1,
Meghraj,Megharaj SF,Rola SF,Moti Bhuval-AFPBP-24-25,1,
Meghraj,Rellavada SF,Panchal SF,Panchal-F.F.-20-21,10,
Meghraj,Rellavada SF,Rellavada SF,Kunol-DCP-NT-10-25-26,,
Meghraj,Banthivada SF,Kherai SF,Damordhundha-Limbhoi-RDFL-24-25,2,
Meghraj,Banthivada SF,Ramgadhi SF,Limbodara-AFPBP-24-25,5,
Meghraj,Isari SF,Isari SF,Kantalu-AFLDP-24-25,2,
Meghraj,Isari SF,Panibar SF,Panibar-F.F.-21-22,13,
Meghraj,Kasana SF,Kasana SF,Kadvadi-F.F.-24-25,1,
Meghraj,Kasana SF,Vaghpur SF,Chhikari-VK-20-21,0.5,
Meghraj,Megharaj SF,Megharaj SF,Meghraj-AFLDP-24-25,2,
Meghraj,Megharaj SF,Rola SF,Rola-AFPBP-24-25,2,
Meghraj,Rellavada SF,Panchal SF,Borkhad-AFPBP-20-21,1,
Meghraj,Rellavada SF,Rellavada SF,Kunol(Navaghara)-3-G1-24-25,4,
Meghraj,Banthivada SF,Kherai SF,Pateldhundha-AFPBP-24-25,5,
Meghraj,Banthivada SF,Ramgadhi SF,Rayavada-AFLDP-24-25,1,
Meghraj,Isari SF,Isari SF,Chhitadara-AFLDP-24-25,1,
Meghraj,Isari SF,Panibar SF,Panibar-AFPBP-21-22,4,
Meghraj,Kasana SF,Kasana SF,Van-F.F.-24-25,3,
Meghraj,Kasana SF,Vaghpur SF,Jamghadh-VK-20-21,2.5,
Meghraj,Megharaj SF,Megharaj SF,Rajedi-AFLDP-24-25,3,
Meghraj,Megharaj SF,Rola SF,Bhuval-AFLDP-24-25,1,
Meghraj,Rellavada SF,Panchal SF,Panchal-AFLDP-20-21,1,
Meghraj,Rellavada SF,Rellavada SF,Kunol(Navaghara)-2-G2-24-25,4,
Meghraj,Banthivada SF,Kherai SF,Royaniya-AFPBP-24-25,5,
Meghraj,Banthivada SF,Ramgadhi SF,Bhutiya-AFLDP-24-25,1,
Meghraj,Isari SF,Isari SF,Devnimori-AFLDP-24-25,1,
Meghraj,Isari SF,Panibar SF,Panibar-VK-21-22,1,
Meghraj,Kasana SF,Kasana SF,Ukaradi-Navi Vank-RDFL-24-25,3,
Meghraj,Kasana SF,Vaghpur SF,Vaghpur-VK-20-21,3.5,
Meghraj,Megharaj SF,Megharaj SF,Valuna-AFLDP-24-25,10,
Meghraj,Megharaj SF,Rola SF,Relyo-AFLDP-24-25,1,
Meghraj,Rellavada SF,Panchal SF,Kadavadi-AFLDP-20-21,1,
Meghraj,Rellavada SF,Rellavada SF,Kunol(Navaghara)-NBM(HDP)-24-25,5,
Meghraj,Banthivada SF,Kherai SF,PatelDhundha-AFLDP-24-25,4,
Meghraj,Banthivada SF,Ramgadhi SF,Tumbaliya-NBM-BPFL-24-25,2,
Meghraj,Isari SF,Isari SF,Navagam(i)-AFLDP-24-25,1,
Meghraj,Isari SF,Panibar SF,Tarakvada-VK-21-22,0.5,
Meghraj,Kasana SF,Kasana SF,Kasana-AFPBP-24-25,1,
Meghraj,Kasana SF,Vaghpur SF,Gopavada-NBM-BPFL-20-21,1,
Meghraj,Megharaj SF,Megharaj SF,Bedaj-AFHDP1-24-25,7,
Meghraj,Megharaj SF,Rola SF,Rola-AFLDP-24-25,2,
Meghraj,Rellavada SF,Panchal SF,Kadavadi-AFHDP2-20-21,1,
Meghraj,Rellavada SF,Rellavada SF,Gurukrupa Hi Rellavada-PGVP-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Kherai-AFLDP-24-25,8,
Meghraj,Banthivada SF,Ramgadhi SF,Mandaliya-F.F.-23-24,5,
Meghraj,Isari SF,Isari SF,Navi Ishri-AFLDP-24-25,2,
Meghraj,Isari SF,Panibar SF,Nava(Panibar) Pra.Shala-E-20-21,1,
Meghraj,Kasana SF,Kasana SF,Chhikari-AFPBP-24-25,5,
Meghraj,Megharaj SF,Megharaj SF,Valuna-AFHDP1-24-25,1,
Meghraj,Megharaj SF,Rola SF,Borshi-AFHDP1-24-25,2,
Meghraj,Rellavada SF,Panchal SF,Panchal-VK-20-21,2.5,
Meghraj,Rellavada SF,Rellavada SF,Ramdev Pir Mandir Sangal-PGVP-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Royaniya-AFLDP-24-25,2,
Meghraj,Banthivada SF,Ramgadhi SF,LImbodara-RDFL-23-24,2.5,
Meghraj,Isari SF,Isari SF,Rakhapur-AFLDP-24-25,1,
Meghraj,Isari SF,Panibar SF,Panibar-AFPBP-20-21,2,
Meghraj,Kasana SF,Kasana SF,Navagam(K)-AFPBP-24-25,3,
Meghraj,Megharaj SF,Megharaj SF,Mahudi-AFHDP2-24-25,1,
Meghraj,Megharaj SF,Rola SF,Rola-AFHDP2-24-25,1,
Meghraj,Rellavada SF,Rellavada SF,SRK High School Bhatkota-PGVP-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Kherai-AFHDP1-24-25,1,
Meghraj,Banthivada SF,Ramgadhi SF,Banthivada-AFPBP-23-24,1,
Meghraj,Isari SF,Isari SF,Vankatimba-AFLDP-24-25,1,
Meghraj,Isari SF,Panibar SF,Panibar-AFLDP-20-21,2,
Meghraj,Kasana SF,Kasana SF,Brahaman Kotada-AFPBP-24-25,4,
Meghraj,Megharaj SF,Megharaj SF,Valuna-AFHDP2-24-25,5,
Meghraj,Megharaj SF,Rola SF,Rolo Mahadev Mandir-2-E-23-24,1,
Meghraj,Rellavada SF,Rellavada SF,Itva Pra.Shala-No1-Itva -PGVP-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Dhanivada-NBM-BPFL-24-25,2,
Meghraj,Banthivada SF,Ramgadhi SF,Bhutiya-AFPBP-23-24,2,
Meghraj,Isari SF,Isari SF,Kantalu-AFHDP1-24-25,1,
Meghraj,Isari SF,Panibar SF,Panibar-VK-20-21,2,
Meghraj,Kasana SF,Kasana SF,Lalpur(Vank)-AFPBP-24-25,2,
Meghraj,Megharaj SF,Megharaj SF,Valuna-G2-23-24,3,
Meghraj,Megharaj SF,Rola SF,Bhuval-F.F.-23-24,5,
Meghraj,Rellavada SF,Rellavada SF,Bhathij Maharaj Mandir Kunol-PGVP-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Kherai-1-G2-23-24,3,
Meghraj,Banthivada SF,Ramgadhi SF,Munshivada-AFPBP-23-24,1,
Meghraj,Isari SF,Isari SF,Chhitadara-AFHDP1-24-25,2,
Meghraj,Isari SF,Panibar SF,Naranpur-VK-20-21,1,
Meghraj,Kasana SF,Kasana SF,Vank-AFPBP-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Valuna-AFPBP-23-24,4,
Meghraj,Megharaj SF,Rola SF,Bhuval-RDFL-23-24,1.5,
Meghraj,Rellavada SF,Rellavada SF,Kunol(Navaghara) Van Kavach-24-25,2,
Meghraj,Banthivada SF,Kherai SF,Kherai-2-G2-23-24,4,
Meghraj,Banthivada SF,Ramgadhi SF,Ramghadhi-AFPBP-23-24,3,
Meghraj,Isari SF,Isari SF,Navi Ishri-AFHDP1-24-25,1,
Meghraj,Kasana SF,Kasana SF,Chhikari-AFLDP-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Bedaj-AFLDP-23-24,3,
Meghraj,Megharaj SF,Rola SF,Dundvada-AFPBP-23-24,1,
Meghraj,Rellavada SF,Rellavada SF,Ged-F.F.-24-25,4,
Meghraj,Banthivada SF,Kherai SF,Bhemapur-F.F.-23-24,8,
Meghraj,Banthivada SF,Ramgadhi SF,Bhutiya-AFLDP-23-24,1,
Meghraj,Isari SF,Isari SF,Vankatimba-AFHDP1-24-25,1,
Meghraj,Kasana SF,Kasana SF,Deriya-AFLDP-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Rajedi-AFLDP-23-24,2,
Meghraj,Megharaj SF,Rola SF,Bhuval-AFPBP-23-24,2,
Meghraj,Rellavada SF,Rellavada SF,Rajgol-F.F.-24-25,2,
Meghraj,Banthivada SF,Kherai SF,Satipur(Rayavada)-F.F.-23-24,2,
Meghraj,Banthivada SF,Ramgadhi SF,Arjuna(Hirola)-AFHDP1-23-24,1,
Meghraj,Isari SF,Isari SF,Khakhariya-AFHDP2-24-25,1,
Meghraj,Kasana SF,Kasana SF,Navagam(K)-AFLDP-24-25,7,
Meghraj,Megharaj SF,Megharaj SF,Valuna-AFLDP-23-24,2,
Meghraj,Megharaj SF,Rola SF,Borkhad-AFLDP-23-24,1,
Meghraj,Rellavada SF,Rellavada SF,Ged-RDFL-24-25,2,
Meghraj,Banthivada SF,Kherai SF,Mandali-F.F.-23-24,2,
Meghraj,Banthivada SF,Ramgadhi SF,Gundikayara-G1-22-23,2,
Meghraj,Isari SF,Isari SF,Navi Ishri-AFHDP2-24-25,1,
Meghraj,Kasana SF,Kasana SF,Navi Vank-AFLDP-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Bedaj-AFHDP2-23-24,1,
Meghraj,Megharaj SF,Rola SF,Bhuval-VK-23-24,1,
Meghraj,Rellavada SF,Rellavada SF,Kunol-AFPBP-24-25,8,
Meghraj,Banthivada SF,Kherai SF,Rayavada(Limbodara)-F.F.-23-24,2,
Meghraj,Banthivada SF,Ramgadhi SF,Gundikayara-G2-22-23,3,
Meghraj,Isari SF,Isari SF,Kantalu-G1-23-24,3,
Meghraj,Kasana SF,Kasana SF,Brahaman Kotada-AFLDP-24-25,2,
Meghraj,Megharaj SF,Megharaj SF,Bedaj-NBM-BPFL-22-23,1,
Meghraj,Megharaj SF,Rola SF,Rolo Mahadev Mandir-1-HG-22-23,1,
Meghraj,Rellavada SF,Rellavada SF,Navaghara-AFPBP-24-25,4,
Meghraj,Banthivada SF,Kherai SF,Damordhundha-RDFL-23-24,1,
Meghraj,Banthivada SF,Ramgadhi SF,Mahadev Madir Libodara-E-22-23,1,
Meghraj,Isari SF,Isari SF,Hunjeli Pra Shala-HG-23-24,1,
Meghraj,Kasana SF,Kasana SF,Vank-AFLDP-24-25,3,
Meghraj,Megharaj SF,Megharaj SF,Bedaj-VK-22-23,1.5,
Meghraj,Megharaj SF,Rola SF,Borkhad-VK-22-23,0.5,
Meghraj,Rellavada SF,Rellavada SF,Sangal-AFPBP-24-25,7,
Meghraj,Banthivada SF,Kherai SF,Kherai-AFPBP-23-24,1,
Meghraj,Banthivada SF,Ramgadhi SF,Mudashi-F.F.-22-23,12,
Meghraj,Isari SF,Isari SF,Ghorvada-AFPBP-23-24,1,
Meghraj,Kasana SF,Kasana SF,Vaidi-AFLDP-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Rola-AFPBP-21-22,6,
Meghraj,Megharaj SF,Rola SF,Rola-VK-22-23,0.5,
Meghraj,Rellavada SF,Rellavada SF,Itva-AFLDP-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Kaliyakuva-AFLDP-23-24,6,
Meghraj,Banthivada SF,Ramgadhi SF,Limbodara-RDFL-22-23,2,
Meghraj,Isari SF,Isari SF,Chhitadara-AFPBP-23-24,3,
Meghraj,Kasana SF,Kasana SF,Sisodara(A)-AFLDP-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Kumbhera-G2-21-22,2,
Meghraj,Megharaj SF,Rola SF,Valuna-AFPBP-21-22,2,
Meghraj,Rellavada SF,Rellavada SF,Kunol-AFLDP-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Damordhundha-VK-23-24,3,
Meghraj,Banthivada SF,Ramgadhi SF,Nesada-NBM-BPFL-22-23,2,
Meghraj,Isari SF,Isari SF,Jalampur-AFPBP-23-24,1,
Meghraj,Kasana SF,Kasana SF,Navagam(k)-AFHDP1-24-25,3,
Meghraj,Megharaj SF,Rola SF,Relyo-AFLDP-21-22,1,
Meghraj,Rellavada SF,Rellavada SF,Gayvachharada-AFLDP-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Senduriyo-NBM(HDP)-22-23,5,
Meghraj,Banthivada SF,Ramgadhi SF,Mudashi-F.F.-21-22,10,
Meghraj,Isari SF,Isari SF,Gorvada-AFLDP-23-24,2,
Meghraj,Kasana SF,Kasana SF,Vank-AFHDP1-24-25,2,
Meghraj,Megharaj SF,Megharaj SF,Bedaj-AFLDP-21-22,6,
Meghraj,Megharaj SF,Rola SF,Rola-VK-21-22,0.5,
Meghraj,Rellavada SF,Rellavada SF,Ged-AFLDP-24-25,4,
Meghraj,Banthivada SF,Kherai SF,Kherai-5-NBM(HDP)-22-23,3,
Meghraj,Banthivada SF,Ramgadhi SF,Rajpur-AFPBP-21-22,2,
Meghraj,Isari SF,Isari SF,Chhitadara-AFLDP-23-24,1,
Meghraj,Kasana SF,Kasana SF,Chhikari-AFHDP2-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Valuna-AFLDP-21-22,1,
Meghraj,Megharaj SF,Rola SF,Bhuval-HG-20-21,1,
Meghraj,Rellavada SF,Rellavada SF,Dholapana-AFLDP-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Bhemapur-F.F.-22-23,4,
Meghraj,Banthivada SF,Ramgadhi SF,Ramghadhi-AFLDP-21-22,1,
Meghraj,Isari SF,Isari SF,Ishri-AFLDP-23-24,1,
Meghraj,Kasana SF,Kasana SF,Navagam-AFHDP2-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Valuna-AFHDP2-21-22,1,
Meghraj,Megharaj SF,Rola SF,Bhuval-AFPBP-20-21,1,
Meghraj,Rellavada SF,Rellavada SF,Navaghara-AFLDP-24-25,7,
Meghraj,Banthivada SF,Kherai SF,Kherai-4-NBM(HDP)-21-22,2,
Meghraj,Banthivada SF,Ramgadhi SF,Limbodara-VK-21-22,2,
Meghraj,Isari SF,Isari SF,Rakhapur-AFLDP-23-24,1,
Meghraj,Kasana SF,Kasana SF,Nani Panduli-AFHDP2-24-25,3,
Meghraj,Megharaj SF,Megharaj SF,Kumbhera-AFPBP-20-21,2,
Meghraj,Megharaj SF,Rola SF,Bhuval-AFLDP-20-21,1,
Meghraj,Rellavada SF,Rellavada SF,B T Chhapara-AFLDP-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Kherai-Damordhundha-F.F.-21-22,13,
Meghraj,Banthivada SF,Ramgadhi SF,Dugaragod-G2-20-21,3,
Meghraj,Isari SF,Isari SF,Vankatimba-AFLDP-23-24,2,
Meghraj,Kasana SF,Kasana SF,Lakhapur-AFHDP2-24-25,1,
Meghraj,Megharaj SF,Megharaj SF,Meghraj-VK-20-21,2.5,
Meghraj,Megharaj SF,Rola SF,Relyo-AFLDP-20-21,1,
Meghraj,Rellavada SF,Rellavada SF,Rajgol-AFLDP-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Kaliyakuva-AFPBP-21-22,2,
Meghraj,Banthivada SF,Ramgadhi SF,Rajpur-NBM(HDP)-20-21,5,
Meghraj,Isari SF,Isari SF,Gorvada-AFHDP2-23-24,1,
Meghraj,Kasana SF,Kasana SF,Lalpur(Vank)-HG-23-24,1,
Meghraj,Megharaj SF,Megharaj SF,Valuna-VK-20-21,1,
Meghraj,Megharaj SF,Rola SF,Simleti-VK-20-21,1,
Meghraj,Rellavada SF,Rellavada SF,Sangal-AFLDP-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Kalyakuva-AFLDP-21-22,2,
Meghraj,Banthivada SF,Ramgadhi SF,Tumbaliya-AFPBP-20-21,1,
Meghraj,Isari SF,Isari SF,Ishari-VK-23-24,1,
Meghraj,Kasana SF,Kasana SF,Navi Vank-RDFL-23-24,2,
Meghraj,Megharaj SF,Megharaj SF,Kumbhera-VK-20-21,1,
Meghraj,Megharaj SF,Rola SF,Bhuval-VK-20-21,1,
Meghraj,Rellavada SF,Rellavada SF,Vavkampa-AFHDP1-24-25,6,
Meghraj,Banthivada SF,Kherai SF,Kherai-1-NBM(HDP)-20-21,4,
Meghraj,Banthivada SF,Ramgadhi SF,Gundikyara-AFLDP-20-21,1,
Meghraj,Isari SF,Isari SF,Antoli-VK-23-24,1,
Meghraj,Kasana SF,Kasana SF,Kasana-AFPBP-23-24,1,
Meghraj,Megharaj SF,Megharaj SF,Meghraj-NBM-BPFL-20-21,3,
Meghraj,Megharaj SF,Rola SF,Roleshwer-VK-20-21,1,
Meghraj,Rellavada SF,Rellavada SF,Zeriyavada-AFHDP1-24-25,1,
Meghraj,Banthivada SF,Kherai SF,Kherai-2-NBM(HDP)-20-21,7,
Meghraj,Banthivada SF,Ramgadhi SF,Limbodara-VK-20-21,1,
Meghraj,Isari SF,Isari SF,Ghorvada-VK-23-24,1,
Meghraj,Kasana SF,Kasana SF,Godha-AFPBP-23-24,1,
Meghraj,Megharaj SF,Rola SF,Rola-VK-20-21,0.5,
Meghraj,Rellavada SF,Rellavada SF,Ged-AFHDP1-24-25,1,
